user_id,full_name,email,phone,signup_date,country,age,status,newsletter_opt_in
CSV00001,Donald Walker,rhodespatricia@example.org,,2025-05-31,Pakistan,33,inactive,Yes
CSV00002,Brandon Hall,hoffmanjennifer@example.net,+1-763-679-4026,2025-04-08,USA,,active,Yes
CSV00003,Gabrielle Davis,howardmaurice@example.com,7785161849,2023-12-18,Germany,-1,inactive,
CSV00004,Darren Roberts,wyattmichelle@example.com,575-425-5341x928,2025-08-11,Pakistan,69,inactive,N
CSV00005,Timothy Watts,gabriellecameron@example.org,505.964.1395,2024-11-18,Australia,39,active,N
CSV00006,Judy Baker,julieryan@example.net,001-369-265-3287,2024-09-06,Germany,34,suspended,
CSV00007,Christopher Becker,cruzcaitlin@example.com,648.401.8451x46270,2026-01-29,USA,,pending,
CSV00008,Mario Skinner,ericfarmer@example.net,,2025-01-07,India,,active,No
CSV00009,Tamara George,xsmith@example.com,403.491.1718,2026-05-11,Canada,,inactive,yes
CSV00010,Carmen Rose,ibrandt@example.net,001-734-265-7871x331,2025-06-23,India,-1,active,
CSV00011,Daniel Jones,perezrebecca@example.com,983-547-3829,2025-04-05,UK,,suspended,yes
CSV00012,Cheryl Davis,agomez@example.com,001-801-406-5133x3872,2025-11-06,Germany,-1,pending,Yes
CSV00013,Thomas Ramos,williamsyvette@example.org,,2024-05-01,Pakistan,,active,No
CSV00014,Sarah Martin,zolson@example.org,(960)464-7468,2026-05-28,India,38,suspended,N
CSV00015,Anthony Fitzgerald,adkinsbrian@example.net,388.520.8121x9136,2024-01-25,UK,34,inactive,
CSV00016,Bradley Sandoval,sarah35@example.org,362-547-5107x991,2025-03-26,Canada,,pending,No
CSV00017,Gregory Jones,mikemoore@example.net,001-449-680-8412x411,2025-01-05,Canada,23,active,No
CSV00018,Grant Watts,william40@example.org,+1-264-300-5242x7868,2024-05-04,Canada,56,suspended,N
CSV00019,Stephanie Gardner,brandi26@example.org,8454053315,2023-09-21,Pakistan,53,active,
CSV00020,Christopher Marsh,nicolejohnson@example.net,563-542-1607x33754,2026-04-10,Pakistan,,suspended,No
CSV00021,Garrett Lin,michael86@example.net,+1-350-814-2940,2023-07-26,India,-1,inactive,
CSV00022,Jessica Joyce,cruzbarbara@example.com,7607883561,2024-07-13,Pakistan,-1,inactive,No
CSV00023,Steven Hunter,snguyen@example.com,+1-823-266-2994,2025-06-27,Australia,51,pending,N
